pln
H 1-35,PK355-3.3,17 49.2,-34 23,2,,12.8,15.4,5.41,Sco,Record: 17.5+ 17.5+ 8+
H 1-36,PK353-4.1,17 49.8,-37 01,stellar,,12.1,16.8,3.95,Sco,Record: 13+ 17.5+ 8+
H 1-37,PK351-6.1,17 50.7,-39 17,10x8,2,13.9,,9.76,Sco,Record:  17.5+ 20+
H 1-38,PK353-5.1,17 50.7,-37 24,9x5,,18.3,,13.54,Sco,Record:  17.5- 20-
H 1-39,PK356-3.3,17 53.3,-33 56,5,,17.7,,12.30,Sco,Record:  17.5- 20+
H 1-4,PK351+7.1,16 53.6,-31 41,stellar,1,14.7,16.3,6.55,Sco,Record: 17.5+ 17.5+ 8+
H 1-40,PK359-2.3,17 55.6,-30 34,4,,15.0,,9.11,Sco,Record:  17.5- 20+
H 1-41,PK356-4.2,17 57.3,-34 10,13x7,2,13.0,16.2,9.00,Sco,Record: 17.5+ 17.5- 8+
H 1-42,PK357-4.1,17 57.4,-33 36,6,,12.6,17.3,7.59,Sco,Record: 17.5+ 17.5+ 8+
H 1-43,PK357-4.3,17 58.3,-33 48,2,1,,15.4,,Sgr,Record:  17.5- 20-
H 1-44,PK358-3.1,17 58.2,-31 43,4,,18.7,,12.81,Sgr,Record:  17.5- 20-
H 1-45,PK2-2.1,17 58.4,-28 15,6,1,15.6,16.8,10.59,Sgr,Record:  17.5- 20+
H 1-46,PK358-4.1,17 59.0,-32 22,stellar,1,14.3,16.20,6.15,Sgr,Record: 17.5+ 17.5+ 20+
H 1-47,PK1-3.1,18 00.6,-29 22,5,,,,,Sgr,Record:  17.5- 20-
H 1-5,PK344+0.1,16 57.4,-41 38,6x5,,17.9,,12.70,Sco,Record:  17.5- 20-
H 1-50,PK358-5.3,18 03.9,-32 42,10,,11.1,17.1,7.21,Sgr,Record: 17.5+ 17.5+ 8+
H 1-51,PK356-6.2,18 04.5,-34 58,13,,16.8,,13.48,Sgr,Record:  17.5- 20+
H 1-52,PK354-7.1,18 05.0,-37 38,13x11,2,14.8,,11.29,CrA,Record:  17.5- 20+
H 1-53,PK4-2.1,18 06.0,-26 30,stellar,1,15.7,,7.55,Sgr,Record:  17.5+ 20+
H 1-54,PK2-4.1,18 07.1,-29 13,5,1,14.1,15.4,8.70,Sgr,Record: 17.5+ 17.5+ 8+
H 1-55,PK1-4.1,18 07.2,-29 41,5,,17.8,,12.40,Sgr,Record:   20-
H 1-56,PK1-4.2,18 07.9,-29 45,3,2,14.4,17.0,7.89,Sgr,Record: 17.5+ 17.5+ 8+
H 1-57,PK356-7.2,18 09.8,-35 44,13,,16.0,,12.68,Sgr,Record:  17.5- 20+
H 1-58,PK5-3.1,18 09.2,-26 02,6,1,16.5,17.4,11.49,Sgr,Record: 13- 17.5- 20-
H 1-59,PK3-4.3,18 11.5,-27 46,7x5,2,14.8,16.2,9.76,Sgr,Record: 17.5+ 17.5+ 20+
H 1-6,PK344-1.1,17 07.0,-42 41,14x10,,16.8,,13.27,Sco,Record:   20-
H 1-60,PK4-4.1,18 12.4,-27 29,4,2,14.8,16.4,8.91,Sgr,Record: 17.5+ 17.5+ 20+
H 1-61,PK6-3.1,18 12.6,-24 50,stellar,,18.1,,9.95,Sgr,Record:  17.5- 20-
H 1-62,PK359-6.1,18 13.3,-32 20,stellar,,,,,Sgr,Record:  17.5- 20+
H 1-63,PK2-6.2,18 16.3,-30 08,7,1,12.9,14.7,8.23,Sgr,Record: 17.5+ 17.5+ 20+
H 1-64,PK8-3.1,18 18.4,-23 25,8x7,,18.9,,14.37,Sgr,Record:  17.5- 20-
H 1-65,PK7-4.1,18 20.1,-24 15,8,,,,,Sgr,Record:   20+
H 1-66,PK7-6.1,18 24.9,-25 42,9x8,4,14.4,,10.15,Sgr,Record: 13+ 17.5+ 8+
H 1-67,PK9-4.1,18 25.1,-22 35,6x5,2,14.1,,8.90,Sgr,Record: 17.5+ 17.5+ 8+
H 1-7,PK345-1.1,17 10.5,-41 53,9,2,13.4,,9.28,Sco,Record:  17.5+ 8+
H 1-8,PK352+3.2,17 14.7,-33 25,3,,16.9,,10.39,Sco,Record: 13-  20+
H 1-9,PK355+3.2,17 21.5,-30 21,7,,15.6,,10.93,Sco,Record:  17.5- 20+
H 2-1,PK350+4.1,17 04.6,-33 59,6,2,14.4,12.9,9.39,Sco,Record:  17.5- 8+
H 2-10,PK358+3.2,17 27.5,-28 31,5,,16.0,,10.60,Oph,Record: 17.5+ 17.5+ 20+
H 2-11,PK0+4.1,17 29.4,-25 49,3,,19.1,,12.59,Oph,Record:  17.5- 20-
H 2-12,PK4+6.1,17 30.6,-21 29,5,,,,,Oph,Record:   20-
H 2-13,PK357+2.6,17 31.1,-30 11,stellar,,16.6,,8.45,Sco,Record:  17.5- 20+
H 2-14,PK349-3.1,17 32.3,-39 51,20,,15.8,,13.41,Sco,Record:  17.5- 20-
H 2-15,PK3+5.1,17 34.4,-22 53,5x4,,17.3,,11.66,Oph,Record:  17.5- 20-
H 2-16,PK5+5.2,17 39.9,-21 14,17,3,15.4,,12.66,Oph,Record: 17.5+ 17.5+ 20+
H 2-17,PK3+3.1,17 40.1,-24 26,3,,,,,Oph,Record:  17.5- 20-
H 2-18,PK6+4.1,17 43.5,-21 10,4,,16.1,,10.21,Sgr,Record:  17.5+ 20+
H 2-20,PK2+1.1,17 45.7,-25 40,4,,19.8,,13.91,Sgr,Record:  17.5- 20-
H 2-22,PK6+3.1,17 47.6,-21 47,6,,,,,Sgr,Record:  17.5- 20-
H 2-23,PK355-3.2,17 49.0,-34 22,stellar,1,15.3,,7.15,Sco,Record: 17.5+ 17.5+ 20+
H 2-24,PK4+1.1,17 48.6,-24 17,6x3,,18.4,,12.64,Sgr,Record:  17.5- 20-
H 2-25,PK4+2.1,17 49.0,-23 43,5x4,,19.2,,13.56,Sgr,Record:  17.5- 20-
H 2-26,PK356-3.1,17 49.8,-34 00,4x5,,18.5,,12.86,Sco,Record:  17.5- 20-
H 2-27,PK356-3.2,17 51.8,-33 48,stellar,,19.1,,10.95,Sco,Record:  17.5- 20-
H 2-29,PK357-3.3,17 53.3,-32 41,4,,20.1,,14.11,Sco,Record: 17.5- 17.5- 20-
H 2-30,PK358-3.2,17 56.2,-32 38,11,,17.6,,13.81,Sco,Record:   20-
H 2-31,PK1-1.3,17 56.0,-28 14,stellar,,,,,Sgr,Record:  17.5- 20-
H 2-32,PK0-2.3,17 56.4,-29 38,stellar,1,15.0,,,Sgr,Record:  17.5- 20-
H 2-33,PK359-3.2,17 58.2,-31 08,7x6,,18.3,,13.46,Sgr,Record:  17.5- 20-
H 2-35,PK356-5.1,18 00.3,-34 28,11,,16.0,,12.31,Sgr,Record:  17.5- 20-
H 2-36,PK359-4.4,18 04.1,-31 39,10,,16.7,,12.81,Sgr,Record: 13- 17.5- 20+
H 2-37,PK2-3.2,18 04.5,-28 38,6x4,,15.9,,10.45,Sgr,Record:  17.5- 20+
H 2-39,PK2-3.6,18 08.1,-28 26,4,,15.5,,9.61,Sgr,Record: 17.5+ 17.5+ 20+
H 2-40,PK0-5.1,18 08.4,-31 37,4,,17.4,,11.51,Sgr,Record:   20-
H 2-41,PK3-4.4,18 12.4,-27 52,9x7,,16.0,,11.60,Sgr,Record: 13- 17.5- 20+
H 2-42,PK5-3.2,18 12.4,-26 33,17,,17.1,,14.36,Sgr,Record:  17.5- 20-
H 2-43,PK3-4.9,18 12.8,-28 20,9,,15.5,,11.38,Sgr,Record:  17.5- 20-
H 2-44,PK5-4.1,18 13.7,-26 09,8,,16.5,,12.12,Sgr,Record:  17.5+ 20+
H 2-45,PK6-3.2,18 14.5,-24 44,5,,15.8,,10.40,Sgr,Record:  17.5+ 20+
H 2-46,PK0-7.2,18 18.6,-31 55,4,1,15.7,,9.81,Sgr,Record:  17.5+ 20+
H 2-48,PK11-9.1,18 46.6,-23 27,2,1,14.1,13.4,6.71,Sgr,Record: 17.5+ 17.5+ 8+
H 2-7,PK357+4.1,17 23.4,-28 59,5,,16.9,,11.50,Oph,Record:  17.5+ 20+
H 2-8,PK3+7.1,17 24.8,-21 34,4x3,,,,,Oph,Record:  17.5- 20-
H 3-29 ,PK174-14.1,04 37.3,+25 03,20,,15.3,15.7,12.91,Tau,Record: 17.5+ 17.5+ 20+
H 3-75,PK193-9.1,05 40.7,+12 21,30,,13.9,,12.39,Ori,Record: 13+ 17.5+ 8+
H 4-1,PK49+88.1,12 59.5,+27 38,3,,14.7,19.5,8.19,Com,Record: 13+ 17.5+ 8+
HaTr 1,PK299-4.1,12 16.6,-66 46,72,,17.5,,17.90,Mus,Record:   20-
HaTr 10,PK31-0.2,18 50.4,-01 40,25,,,,,Aql,Record:   20-
HaTr 11,PK36-1.2,19 03.0,+03 02,12,,,,,Aql,Record:   20+
HaTr 13,PK36-2.1,19 08.0,+02 21,21,,,,,Aql,Record:   20-
HaTr 14,PK41-0.1,19 09.2,+07 06,18,,19.0,,16.38,Aql,Record:   20-
HaTr 2,PK321-3.1,15 30.3,-61 02,12,,18.1,,14.00,TrA,Record:   20+
HaTr 3,PK333-4.1,16 39.6,-52 49,42,,16.2,,15.42,Ara,Record:   20+
HaTr 4,PK335-3.1,16 45.0,-51 12,23,,16.7,,14.62,Ara,Record:   20-
HaTr 5,PK343-0.1,17 01.5,-43 06,120,,,,,Sco,Record:   20-
HaTr 6,PK332-16.1,17 51.9,-60 23,36,,16.7,,15.59,Pav,Record:   20-
HaTr 8,PK6+1.1,17 55.9,-22 59,12,,,,,Sgr,Record:   20-
HaTr 9,PK351-10.2,18 09.0,-41 48,162,,,,,CrA,Record:   20-
HaWe 5,PK156-13.1,03 45.4,+37 49,34,,18.0,,,Per,Record:   20-
HaWe 9,PK236-10.1,06 54.3,-25 24,148,,15.0,,,CMa,Record:   20-
Hb 12,PK111-2.1,23 26.2,+58 11,1,,11.8,,2.90,Cas,Record: 17.5+ 17.5+ 8+
Hb 4,PK3+2.1,17 41.9,-24 42,7x6,3b,13.1,14.9,8.26,Oph,Record: 13+ 17.5+ 8+
Hb 5,PK359-0.1,17 47.9,-30 00,19x12,2+6,11.8,18.2,8.80,Sgr,Record: 13+ 17.5+ 8+
Hb 7,PK3-14.1,18 55.6,-32 16,4,2,11.9,13.9,6.01,Sgr,Record: 13+ 17.5+ 8+
Hb 8,PK3-17.1,19 05.6,-33 12,2,2,12.8,15.7,5.41,Sgr,Record: 17.5+ 17.5+ 8+
HBDS 1,PK273+6.1,09 52.7,-46 17,90,,,,,Vel,Record:   20-
HDW 11,PK34-10.1,19 31.1,-03 42,47,,,,,Aql,Record:   20-
HDW 12,PK14-25.1,19 58.2,-26 28,46,,,,,Sgr,Record:   20-
HDW 2,PK138+4.1,03 11.0,+62 48,340,,13.0,,,Cas,Record:   20-
HDW 3,PK149-9.1,03 27.3,+45 24,540,,12.5,,,Per,Record:   20-
HDW 5,PK218-10.1,06 23.6,-10 13,94,,15.4,,16.38,Mon,Record: 17.5-  20-
HDW 6,PK192+7.1,06 40.2,+21 25,76,,16.0,,,Gem,Record:   20-
HDW 7,PK211+18.1,07 55.2,+09 33,94,,,,,CMi,Record:   20-
HDW 8,PK358+2.5,17 31.8,-28 42,37,,14.9,,13.85,Oph,Record:   20+
He 1-1,PK55+2.2,19 23.8,+21 07,5,2+3,16.3,,10.90,Vul,Record: 17.5+ 17.5+ 20+
He 1-2,PK55+2.3,19 26.6,+21 10,5,,,,,Vul,Record: 17.5+ 17.5- 20?
He 1-3,PK59-1.1,19 48.4,+22 10,8,2,16.0,11.6,11.62,Vul,Record: 17.5+ 17.5+ 20+
He 1-4,PK68+1.2,19 59.3,+31 55,24x21,3b,14.2,21.1,12.06,Cyg,Record: 17.5+ 17.5+ 20+
He 1-5,PK60-7.1,20 11.9,+20 20,29,3+2,16.2,8.9,14.62,Sge,Record: 17.5+ 17.5- 20+
He 1-6,PK65-5.1,20 17.4,+25 22,18x13,3+2,14.9,,11.99,Vul,Record: 13+ 17.5+ 20+
He 2-101,PK311+3.1,13 54.9,-58 27,stellar,,18.3,,10.15,Cen,Record:   20-
He 2-102,PK311+2.1,13 58.2,-58 54,9,,13.6,,9.48,Cen,Record:   8+
He 2-103,PK310-2.1,14 05.6,-64 41,22x18,,13.9,,11.50,Cir,Record:   8+
He 2-104,PK315+9.1,14 11.9,-51 26,5,,14.1,17.9,5.95,Cen,Record:   8+
He 2-105,PK308-12.1,14 15.4,-74 13,31,,13.5,,12.06,Aps,Record:   8+
He 2-107,PK312-1.1,14 18.7,-63 07,11x9,,16.4,,12.49,Cen,Record:   20-
He 2-108,PK316+8.1,14 18.2,-52 11,12x10,,13.8,12.72,10.1,Cen,Record:  17.5+ 8+
He 2-109,PK315+5.1,14 20.8,-55 28,9x6,,15.1,19,10.54,Lup,Record:  17.5- 8+
He 2-11,PK259+0.1,08 37.1,-39 26,60x40,,13.9,18.9,13.46,Vel,Record: 17.5+ 17.5+ 8+
He 2-111,PK315-0.1,14 33.3,-60 50,18x8,,13.2,,9.70,Cen,Record: 13+  8+
He 2-112,PK319+6.1,14 40.5,-52 35,8x6,,13.3,,8.61,Lup,Record:  17.5+ 8+
He 2-113,PK321+3.1,14 59.9,-54 18,stellar,,15.8,,7.65,Lup,Record:   20?
He 2-114,PK318-2.1,15 04.1,-60 53,34x22,,14.5,,12.79,Cir,Record:   8+
He 2-115,PK321+2.1,15 05.3,-55 11,4x2,,14.9,16.24,8.26,Lup,Record:   20+
He 2-116,PK318-2.2,15 06.0,-61 21,51x44,,15.1,,14.59,Cir,Record:   20+
He 2-117,PK321+2.2,15 06.0,-55 59,6x4,,14.9,18,9.45,Cir,Record:   8+
He 2-118,PK327+13.1,15 06.2,-43 00,stellar,,12.7,,4.55,Lup,Record:  17.5+ 8+
He 2-120,PK321+1.1,15 11.9,-55 40,29x25,,14.5,,12.76,Cir,Record:  17.5+ 8+
He 2-123,PK323+2.1,15 22.3,-54 08,8x6,,15.1,16.80,10.41,Lup,Record:  17.5- 20+
He 2-125,PK324+2.1,15 23.6,-53 51,4x3,,17.9,,11.70,Lup,Record:   20-
He 2-128,PK325+4.1,15 25.1,-51 20,stellar,,14.4,15.9,6.25,Lup,Record:   20+
He 2-129,PK325+3.1,15 25.5,-52 51,2x1,,14.9,,6.75,Lup,Record:   20+
He 2-131,PK315-13.1,15 37.2,-71 55,6,,11.8,,6.79,Aps,Record:   8+
He 2-132,PK323-2.1,15 38.0,-58 45,20x16,,14.8,17.0,12.17,Nor,Record:   20+
He 2-133,PK324-1.1,15 42.0,-56 37,4,,16.6,,10.71,Nor,Record:   20+
He 2-136,PK322-6.1,15 52.2,-62 31,10,,12.5,,10.71,TrA,Record:   8+
He 2-138,PK320-9.1,15 56.0,-66 09,7,,13.3,,8.63,TrA,Record:   8+
He 2-140,PK327-1.2,15 58.1,-55 42,3,,17.1,,10.59,Nor,Record:   20+
He 2-141,PK325-4.1,15 59.2,-58 24,16x12,,12.3,13.6,9.11,Nor,Record:   8+
He 2-142,PK327-2.1,16 00.0,-55 55,4x3,,16.0,15.15,9.80,Nor,Record:   20+
He 2-143,PK327-1.1,16 01.0,-55 06,7x4,,15.2,,9.92,Nor,Record:   20+
He 2-145,PK331+0.1,16 09.0,-51 02,13x8,,14.9,,11.05,Nor,Record:  17.5- 20+
He 2-146,PK328-2.1,16 10.7,-54 58,24x20,,14.2,,14.61,Nor,Record:  17.5+ 8+
He 2-147,PK327-4.1,16 14.0,-56 59,stellar,,16.9,,8.75,Nor,Record:   20-
He 2-149,PK329-2.1,16 14.4,-54 48,3,,15.1,16.10,8.59,Nor,Record:   20+
He 2-15,PK261+2.1,08 53.5,-40 04,27x21,,14.1,17.80,12.09,Vel,Record: 17.5+ 17.5+ 8+
He 2-151,PK326-6.1,16 15.7,-59 54,stellar,,16.3,,8.15,Nor,Record:   20?
He 2-152,PK333+1.1,16 15.3,-49 13,13x10,,13.6,,9.99,Nor,Record:  17.5+ 8+
He 2-153,PK330-2.1,16 17.2,-53 32,14x12,,14.4,,11.07,Nor,Record:  17.5+ 8+
