ngcic
NGC 77          |   GALXY   |   CET |   0   20  1.6 |   -   22  31  56  |   14.8    |   12.7    |   0.40    |   0.4 |       |   E-S0    |   0.063064    |   PGC1290 ,   ESO473-15   ,   NPM1G-22.0006   ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 78  A       |   GALXY   |   PSC |   0   20  25.8    |   +   0   49  35  |   12.8    |   13.3    |   1.10    |   0.7 |   80  |   SB0-a   |   0.016942    |   PGC1306 ,   UGC193  ,   MCG0-2-4    ,   IRAS00178+0032  ,   KCPG6B  ,   MK547   ,   CGCG383-1   ,       ,       ,       ,       ,   
NGC 78  B       |   GALXY   |   PSC |   0   20  27.5    |   +   0   50  0   |   13.5    |   12.3    |   1.00    |   0.7 |   134 |   S0  |   0.018436    |   PGC1309 ,   UGC194  ,   MCG0-2-5    ,   KCPG6A  ,   KUG0017+005 ,   MK547   ,   CGCG383-1   ,       ,       ,       ,       ,   
NGC 79          |   GALXY   |   AND |   0   21  2.8 |   +   22  34  2   |   14.0    |   13.0    |   0.60    |   0.6 |       |   E-S0    |   0.018296    |   PGC1340 ,   MCG4-2-3    ,   CGCG479-3   ,   NPM1G+22.0015   ,       ,       ,       ,       ,       ,       ,       ,   
NGC 80          |   GALXY   |   AND |   0   21  10.9    |   +   22  21  28  |   12.1    |   13.2    |   1.60    |   1.6 |       |   E-S0    |   0.019006    |   PGC1351 ,   UGC203  ,   MCG4-2-4    ,   CGCG479-6   ,       ,       ,       ,       ,       ,       ,       ,   
NGC 81          |   GALXY   |   AND |   0   21  13.2    |   +   22  23  0   |   15.7    |   11.3    |   0.20    |   0.1 |   84  |   S   |   0.020447    |   PGC1352 ,   NPM1G+22.0016   ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 82          |   STARS   |   AND |   0   21  17.6    |   +   22  27  40  |       |       |       |       |       |   *   |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 83          |   GALXY   |   AND |   0   21  22.6    |   +   22  26  3   |   12.5    |   13.3    |   1.50    |   1.5 |       |   E0  |   0.020771    |   PGC1371 ,   UGC206  ,   MCG4-2-5    ,   CGCG479-8   ,       ,       ,       ,       ,       ,       ,       ,   
NGC 84          |   STARS   |   AND |   0   21  21.2    |   +   22  37  9   |       |       |       |       |       |   *   |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 85          |   GALXY   |   AND |   0   21  25.5    |   +   22  30  44  |   14.8    |   13.5    |   0.70    |   0.5 |   146 |   S0  |   0.020694    |   PGC1375 ,   NGC85A  ,   MCG4-2-7    ,   CGCG479-9   ,   NPM1G+22.0017   ,       ,       ,       ,       ,       ,       ,   
NGC 85  A       |   NONEX   |   AND |   0   21  25.5    |   +   22  30  44  |   14.8    |   13.5    |   0.70    |   0.5 |   146 |   S0  |   0.020694    |   PGC1375 ,   NGC85   ,   MCG4-2-7    ,   CGCG479-9   ,   NPM1G+22.0017   ,       ,       ,       ,       ,       ,       ,   
NGC 85  B       |   NONEX   |   AND |   0   21  29.1    |   +   22  30  23  |   14.7    |   13.1    |   0.90    |   0.3 |   129 |   Sbc |   0.019413    |   PGC1382 ,   IC1546  ,   MCG4-2-8    ,   CGCG479-10  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 86          |   GALXY   |   AND |   0   21  28.6    |   +   22  33  23  |   14.8    |   13.0    |   0.70    |   0.3 |   9   |   S?  |   0.018650    |   PGC1383 ,   MCG4-2-9    ,   CGCG479-11  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 87          |   GALXY   |   PHE |   0   21  14.2    |   -   48  37  44  |   14.3    |   13.7    |   0.90    |   0.7 |   171 |   IBm/P   |   0.011391    |   PGC1357 ,   ESO194-8    ,   AM0018-485  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 88          |   GALXY   |   PHE |   0   21  22.0    |   -   48  38  23  |   14.4    |   13.3    |   0.80    |   0.5 |   145 |   SB0-a   |   0.011471    |   PGC1370 ,   ESO194-10   ,   AM0018-485  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 89          |   GALXY   |   PHE |   0   21  24.3    |   -   48  39  55  |   13.5    |   13.0    |   1.20    |   0.6 |   148 |   SB0-a   |   0.010964    |   PGC1374 ,   ESO194-11   ,   AM0018-485  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 90          |   GALXY   |   AND |   0   21  51.6    |   +   22  24  2   |   13.7    |   14.0    |   1.90    |   0.8 |   132 |   SBc |   0.017856    |   PGC1405 ,   UGC208  ,   MCG4-2-11   ,   CGCG479-13  ,   Arp65   ,       ,       ,       ,       ,       ,       ,   
NGC 91          |   STARS   |   AND |   0   21  51.7    |   +   22  22  8   |       |       |       |       |       |   *   |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 92          |   GALXY   |   PHE |   0   21  31.4    |   -   48  37  29  |   13.1    |   13.6    |   1.90    |   0.9 |   148 |   Sa  |   0.010737    |   PGC1388 ,   ESO194-12   ,   AM0018-485  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 93          |   GALXY   |   AND |   0   22  3.4 |   +   22  24  32  |   13.2    |   12.8    |   1.40    |   0.6 |   48  |   Sb  |   0.017946    |   PGC1412 ,   UGC209  ,   MCG4-2-12   ,   CGCG479-15  ,   Arp65   ,       ,       ,       ,       ,       ,       ,   
